GEOID,Drive15_EVSE
36005000100,140
36005000200,15
36005000400,106
36005001600,178
36005001901,441
36005001902,463
36005001903,398
36005001904,9
36005002001,156
36005002002,184
36005002300,380
36005002400,94
36005002500,405
36005002701,381
36005002702,360
36005002800,229
36005003100,336
36005003300,347
36005003500,234
36005003700,98
36005003800,188
36005003900,325
36005004001,233
36005004100,252
36005004200,305
36005004300,332
36005004400,189
36005004600,371
36005004800,219
36005005001,150
36005005002,245
36005005100,310
36005005200,184
36005005300,110
36005005400,176
36005005600,171
36005005902,170
36005006000,217
36005006100,106
36005006200,203
36005006301,201
36005006302,300
36005006400,312
36005006500,221
36005006700,111
36005006800,187
36005006900,97
36005007000,200
36005007100,99
36005007200,255
36005007300,127
36005007400,98
36005007500,103
36005007600,186
36005007700,73
36005007800,253
36005007900,200
36005008300,218
36005008400,121
36005008500,122
36005008600,106
36005008700,172
36005008900,207
36005009000,142
36005009200,160
36005009301,189
36005009302,69
36005009600,227
36005009800,182
36005011000,135
36005011502,197
36005011701,164
36005011702,12
36005011800,127
36005011900,201
36005012101,127
36005012102,195
36005012300,105
36005012500,72
36005012701,103
36005012901,88
36005013000,198
36005013100,74
36005013200,164
36005013300,105
36005013500,70
36005013800,192
36005014100,124
36005014300,104
36005014400,188
36005014500,113
36005014701,102
36005014702,124
36005014900,48
36005015100,102
36005015200,295
36005015300,101
36005015500,152
36005015700,116
36005015800,213
36005015900,139
36005016000,176
36005016100,194
36005016200,181
36005016300,26
36005016400,233
36005016500,158
36005016600,251
36005016700,134
36005016900,130
36005017100,24
36005017300,111
36005017500,98
36005017701,104
36005017702,100
36005017901,112
36005017902,106
36005018101,94
36005018102,94
36005018301,138
36005018302,166
36005018400,139
36005018501,96
36005018502,92
36005018900,211
36005019300,157
36005019400,204
36005019500,149
36005019700,136
36005019900,134
36005020000,150
36005020100,146
36005020200,152
36005020400,142
36005020501,173
36005020502,131
36005020601,152
36005020900,172
36005021001,122
36005021002,31
36005021100,175
36005021200,122
36005021301,137
36005021302,114
