GEOID,Walk15_EVSE
36005000100,0
36005000200,0
36005000400,0
36005001600,0
36005001901,50
36005001902,0
36005001903,50
36005001904,0
36005002001,0
36005002002,0
36005002300,50
36005002400,0
36005002500,50
36005002701,0
36005002702,0
36005002800,0
36005003100,2
36005003300,0
36005003500,0
36005003700,0
36005003800,0
36005003900,50
36005004001,0
36005004100,0
36005004200,0
36005004300,0
36005004400,3
36005004600,0
36005004800,3
36005005001,3
36005005002,3
36005005100,50
36005005200,3
36005005300,0
36005005400,3
36005005600,3
36005005902,0
36005006000,3
36005006100,0
36005006200,3
36005006301,2
36005006302,0
36005006400,3
36005006500,0
36005006700,0
36005006800,3
36005006900,0
36005007000,3
36005007100,0
36005007200,0
36005007300,0
36005007400,0
36005007500,0
36005007600,3
36005007700,0
36005007800,2
36005007900,0
36005008300,0
36005008400,0
36005008500,0
36005008600,0
36005008700,0
36005008900,0
36005009000,0
36005009200,2
36005009301,0
36005009302,0
36005009600,2
36005009800,0
36005011000,0
36005011502,0
36005011701,0
36005011702,0
36005011800,0
36005011900,0
36005012101,0
36005012102,0
36005012300,0
36005012500,0
36005012701,0
36005012901,0
36005013000,0
36005013100,0
36005013200,0
36005013300,0
36005013500,0
36005013800,0
36005014100,0
36005014300,0
36005014400,0
36005014500,0
36005014701,0
36005014702,0
36005014900,0
36005015100,0
36005015200,0
36005015300,0
36005015500,0
36005015700,0
36005015800,0
36005015900,0
36005016000,0
36005016100,0
36005016200,0
36005016300,0
36005016400,0
36005016500,0
36005016600,0
36005016700,0
36005016900,0
36005017100,0
36005017300,0
36005017500,0
36005017701,0
36005017702,0
36005017901,0
36005017902,0
36005018101,0
36005018102,0
36005018301,0
36005018302,0
36005018400,0
36005018501,0
36005018502,0
36005018900,0
36005019300,0
36005019400,0
36005019500,0
36005019700,0
36005019900,0
36005020000,2
36005020100,0
36005020200,2
36005020400,0
36005020501,0
36005020502,0
36005020601,2
36005020900,0
36005021001,0
36005021002,0
36005021100,0
36005021200,0
36005021301,0
36005021302,0
36005021501,0
36005021502,0
36005021601,0
36005021602,0
36005021700,0
36005021800,0
36005021900,0
36005022000,0
36005022101,0
36005022102,0
36005022200,0
36005022300,0
36005022401,0
36005022403,0
36005022404,0
36005022500,0
36005022701,0
36005022702,0
36005022703,0
36005022800,0
36005022901,0
36005022902,0
36005023000,0
36005023100,0
36005023200,0
36005023301,0
36005023302,0
36005023501,0
36005023502,0
36005023600,0
36005023702,5
36005023703,5
36005023704,5
36005023800,0
36005023900,5
36005024000,0
36005024100,0
36005024300,0
36005024400,0
36005024501,0
36005024502,0
36005024600,0
36005024700,0
36005024800,0
36005024900,0
36005025000,0
36005025100,5
36005025200,0
36005025300,5
36005025400,0
36005025500,5
36005025600,0
36005025700,0
36005026100,5
36005026300,5
36005026400,0
36005026500,5
36005026601,0
36005026602,0
36005026701,9
36005026702,12
36005026900,0
36005027300,8
36005027401,0
36005027402,0
36005027600,0
36005027700,8
36005027900,12
36005028100,10
36005028300,12
36005028400,0
36005028500,12
36005028600,0
36005028700,12
36005028800,0
36005028900,8
36005029301,0
36005029302,0
36005029500,12
36005029600,0
36005029700,8
36005030000,0
36005030100,0
36005030201,0
36005030202,0
36005030701,0
36005030900,0
36005031000,2
36005031200,0
36005031400,0
36005031600,0
36005031800,0
36005031900,0
36005032300,4
36005032400,0
36005032600,0
36005032800,0
36005033000,0
36005033201,0
36005033202,0
36005033400,0
36005033500,4
36005033601,0
36005033602,0
36005033700,4
36005033801,0
36005033802,0
36005034000,0
36005034200,1
36005034300,0
36005034400,1
36005034500,0
36005034800,1
36005035000,1
36005035100,4
36005035600,2
36005035800,11
36005035900,3
36005036000,2
36005036100,5
36005036300,5
36005036400,7
36005036501,5
36005036502,2
36005036700,0
36005036800,7
36005036901,0
36005036902,0
36005037000,1
36005037100,2
36005037200,1
36005037300,2
36005037400,2
36005037504,0
36005037600,2
36005037800,2
36005037900,0
36005038000,1
36005038100,0
36005038200,7
36005038301,5
36005038303,5
36005038304,5
36005038500,0
36005038600,11
36005038700,0
36005038800,7
36005038900,2
36005039000,0
36005039100,2
36005039200,0
36005039300,5
36005039400,0
36005039500,0
36005039600,0
36005039700,0
36005039800,10
36005039901,5
36005039902,5
36005040100,5
36005040302,5
36005040303,9
36005040304,9
36005040400,4
36005040501,0
36005040502,0
36005040600,0
36005040701,4
36005040702,4
36005040800,0
36005040900,10
36005041100,10
36005041300,4
36005041400,7
36005041500,0
36005041800,0
36005041900,8
36005042000,0
36005042100,8
36005042200,0
36005042300,8
36005042400,4
36005042500,2
36005042600,4
36005042800,0
36005042901,2
36005042902,8
36005043000,0
36005043101,8
36005043102,8
36005043400,7
36005043501,0
36005043502,6
36005043503,0
36005043600,7
36005044200,7
36005044400,7
36005044800,0
36005044901,0
36005044902,0
36005045101,0
36005045102,0
36005045600,0
36005045800,4
36005046000,10
36005046203,0
36005046204,2
36005046205,2
36005046206,2
36005046207,2
36005046208,12
36005046209,4
36005048401,4
36005048402,4
36005050400,0
36005051601,0
36005051602,0
36047000100,18
36047000200,12
36047000301,18
36047000501,18
36047000502,18
36047000700,12
36047000900,18
36047001100,18
36047001300,12
36047001501,12
36047001502,0
36047001801,10
36047001802,10
36047001803,0
36047001804,0
36047002000,2
36047002100,12
36047002200,2
36047002300,12
36047002901,6
36047003000,0
36047003101,6
36047003102,11
36047003300,21
36047003400,0
36047003500,25
36047003600,0
36047003700,6
36047003800,0
36047003900,4
36047004100,6
36047004300,14
36047004400,0
36047004500,14
36047004600,6
36047004700,8
36047004900,8
36047005000,6
36047005100,8
36047005201,5
36047005202,5
36047005301,4
36047005302,4
36047005303,0
36047005400,10
36047005601,5
36047005602,5
36047005800,10
