GEOID,County
36005000100,Bronx
36005000200,Bronx
36005000400,Bronx
36005001600,Bronx
36005001900,Bronx
36005002000,Bronx
36005002300,Bronx
36005002400,Bronx
36005002500,Bronx
36005002701,Bronx
36005002702,Bronx
36005002800,Bronx
36005003100,Bronx
36005003300,Bronx
36005003500,Bronx
36005003800,Bronx
36005003900,Bronx
36005004001,Bronx
36005004100,Bronx
36005004200,Bronx
36005004300,Bronx
36005004400,Bronx
36005004600,Bronx
36005004800,Bronx
36005005001,Bronx
36005005002,Bronx
36005005100,Bronx
36005005200,Bronx
36005005300,Bronx
36005005400,Bronx
36005005600,Bronx
36005005902,Bronx
36005006000,Bronx
36005006100,Bronx
36005006200,Bronx
36005006300,Bronx
36005006400,Bronx
36005006500,Bronx
36005006700,Bronx
36005006800,Bronx
36005006900,Bronx
36005007000,Bronx
36005007100,Bronx
36005007200,Bronx
36005007300,Bronx
36005007400,Bronx
36005007500,Bronx
36005007600,Bronx
36005007700,Bronx
36005007800,Bronx
36005007900,Bronx
36005008300,Bronx
36005008400,Bronx
36005008500,Bronx
36005008600,Bronx
36005008700,Bronx
36005008900,Bronx
36005009000,Bronx
36005009200,Bronx
36005009300,Bronx
36005009600,Bronx
36005009800,Bronx
36005011502,Bronx
36005011700,Bronx
36005011800,Bronx
36005011900,Bronx
36005012101,Bronx
36005012102,Bronx
36005012300,Bronx
36005012500,Bronx
36005012701,Bronx
36005012901,Bronx
36005013100,Bronx
36005013200,Bronx
36005013300,Bronx
36005013500,Bronx
36005013800,Bronx
36005014100,Bronx
36005014300,Bronx
36005014400,Bronx
36005014500,Bronx
36005014701,Bronx
36005014702,Bronx
36005014900,Bronx
36005015100,Bronx
36005015200,Bronx
36005015300,Bronx
36005015500,Bronx
36005015700,Bronx
36005015800,Bronx
36005015900,Bronx
36005016000,Bronx
36005016100,Bronx
36005016200,Bronx
36005016400,Bronx
36005016500,Bronx
36005016600,Bronx
36005016700,Bronx
36005016900,Bronx
36005017300,Bronx
36005017500,Bronx
36005017701,Bronx
36005017702,Bronx
36005017901,Bronx
36005017902,Bronx
36005018101,Bronx
36005018102,Bronx
36005018301,Bronx
36005018302,Bronx
36005018400,Bronx
36005018500,Bronx
36005018900,Bronx
36005019300,Bronx
36005019400,Bronx
36005019500,Bronx
36005019700,Bronx
36005019900,Bronx
36005020000,Bronx
36005020100,Bronx
36005020200,Bronx
36005020400,Bronx
36005020501,Bronx
36005020502,Bronx
36005020601,Bronx
36005020900,Bronx
36005021001,Bronx
36005021100,Bronx
36005021200,Bronx
36005021301,Bronx
36005021302,Bronx
36005021501,Bronx
36005021502,Bronx
36005021601,Bronx
36005021602,Bronx
36005021700,Bronx
36005021800,Bronx
36005021900,Bronx
36005022000,Bronx
